Genre,Age,Annual Income (k$),Spending Score (1-100)
0,-1.4245687900521389,-1.7389991930659479,-0.43480147996914836
0,-1.2810354107017976,-1.7389991930659479,1.1957040699151575
1,-1.3528021003769684,-1.7008297638941756,-1.7159129834496745
1,-1.137502031351456,-1.7008297638941756,1.0404178270690332
1,-0.5633685139500902,-1.6626603347224032,-0.3959799192576173
1,-1.2092687210266269,-1.6626603347224032,1.001596266357502
1,-0.27630175524940737,-1.624490905550631,-1.7159129834496745
1,-1.137502031351456,-1.624490905550631,1.7003843591650618
0,1.8049322453305436,-1.5863214763788585,-1.8323776655842676
1,-0.635135203625261,-1.5863214763788585,0.8463100235113777
0,2.020232314356056,-1.5863214763788585,-1.4053404977574258
1,-0.27630175524940737,-1.5863214763788585,1.8944921627227171
1,1.3743321072795194,-1.5481520472070862,-1.3665189370458946
1,-1.0657353416762854,-1.5481520472070862,1.0404178270690332
0,-0.13276837589906595,-1.5481520472070862,-1.4441620584689567
0,-1.2092687210266269,-1.5481520472070862,1.1180609484920954
1,-0.27630175524940737,-1.5099826180353138,-0.5900877228152727
0,-1.3528021003769684,-1.5099826180353138,0.6133806592421911
0,0.9437319692284949,-1.433643759691769,-0.8230170870844593
1,-0.27630175524940737,-1.433643759691769,1.8556706020111862
0,-0.27630175524940737,-1.3954743305199968,-0.5900877228152727
0,-0.9939686520011146,-1.3954743305199968,0.8851315842229088
1,0.5131318311774706,-1.3573049013482246,-1.7547345441612054
0,-0.5633685139500902,-1.3573049013482246,0.8851315842229088
1,1.0872653485788364,-1.2427966138329074,-1.4053404977574258
0,-0.7069018933004317,-1.2427966138329074,1.2345256306266885
1,0.44136514150229983,-1.2427966138329074,-0.706552404949866
0,-0.27630175524940737,-1.2427966138329074,0.4192728556845357
1,0.08253169312644623,-1.2046271846611352,-0.7453739656613971
1,-1.137502031351456,-1.2046271846611352,1.428633434184344
0,1.5178654866298606,-1.1664577554893627,-1.7935561048727366
1,-1.2810354107017976,-1.1664577554893627,0.8851315842229088
0,1.0154986589036656,-1.0519494679740458,-1.7935561048727366
0,-1.4963354797273096,-1.0519494679740458,1.6227412377419996
1,0.7284319002029828,-1.0519494679740458,-1.4053404977574258
1,-1.2810354107017976,-1.0519494679740458,1.1957040699151575
1,0.22606507247678767,-1.0137800388022735,-1.2888758156228324
1,-0.635135203625261,-1.0137800388022735,0.8851315842229088
1,-0.20453506557423667,-0.8992717512869564,-0.9394817692190526
1,-1.3528021003769684,-0.8992717512869564,0.962774705645971
1,1.8766989350057144,-0.861102322115184,-0.5900877228152727
0,-1.0657353416762854,-0.861102322115184,1.6227412377419996
0,0.656665210527812,-0.8229328929434118,-0.5512661621037416
1,-0.5633685139500902,-0.8229328929434118,0.4192728556845357
1,0.7284319002029828,-0.8229328929434118,-0.8618386477959904
1,-1.0657353416762854,-0.8229328929434118,0.57455909853066
1,0.8001985898781535,-0.7847634637716394,0.18634349141534914
1,-0.8504352726507732,-0.7847634637716394,-0.12422899427689961
1,-0.7069018933004317,-0.7847634637716394,-0.31833679783455504
1,-0.5633685139500902,-0.7847634637716394,-0.31833679783455504
1,0.7284319002029828,-0.7084246054280947,0.06987880928075585
0,-0.41983513459974886,-0.7084246054280947,0.3804512949730046
1,-0.5633685139500902,-0.6702551762563224,0.14752193070381803
0,1.44609879695469,-0.6702551762563224,0.3804512949730046
1,0.8001985898781535,-0.6702551762563224,-0.2018721156999618
0,0.5848985208526413,-0.6702551762563224,-0.3571583585460862
1,0.8719652795533241,-0.63208574708455,-0.007764312142306329
